epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1201.3,0.39411,0.31047,1.0598,0.97226,0.98649,0.9934,0.92848,0.39089,0.25351,0.8619,0.000662835,0.000662835,0.000662835
2,2629.19,0.43459,0.34763,1.08886,0.97956,0.97973,0.99124,0.91328,0.39998,0.27084,0.87915,0.00131195,0.00131195,0.00131195
3,4879.06,0.47786,0.38159,1.11324,0.95773,0.97973,0.98903,0.90094,0.44205,0.3391,0.93193,0.00194347,0.00194347,0.00194347
4,13988.6,0.48777,0.39571,1.12146,0.94839,0.96622,0.9879,0.84923,0.55952,0.39228,1.03446,0.0019208,0.0019208,0.0019208
5,17719.4,0.48098,0.39291,1.1275,0.98511,0.95946,0.99173,0.89155,0.47322,0.31084,0.94966,0.0018944,0.0018944,0.0018944
6,37184.2,0.47731,0.39971,1.1215,0.97956,0.97973,0.99129,0.89834,0.45295,0.31787,0.9293,0.001868,0.001868,0.001868
7,38446.2,0.48105,0.39503,1.11822,0.98631,0.97297,0.99226,0.88865,0.45839,0.30789,0.94691,0.0018416,0.0018416,0.0018416
8,39634,0.48529,0.39626,1.1179,0.97977,0.98197,0.9942,0.91553,0.44732,0.30043,0.93444,0.0018152,0.0018152,0.0018152
9,40850.2,0.48607,0.39426,1.12102,0.99138,0.98649,0.99426,0.90497,0.45084,0.29638,0.95986,0.0017888,0.0017888,0.0017888
10,42123.4,0.47842,0.39044,1.11714,0.99166,0.96622,0.99356,0.92049,0.41913,0.27079,0.90589,0.0017624,0.0017624,0.0017624
11,43382.3,0.47053,0.38248,1.11216,0.98645,0.98408,0.99423,0.89349,0.43584,0.29958,0.93756,0.001736,0.001736,0.001736
12,44626.9,0.46802,0.38642,1.11042,0.9884,0.96622,0.99078,0.90822,0.43256,0.28883,0.93884,0.0017096,0.0017096,0.0017096
13,45834.1,0.45981,0.37411,1.10462,0.99985,0.97297,0.99434,0.90403,0.44474,0.27355,0.94373,0.0016832,0.0016832,0.0016832
14,47031.8,0.46293,0.37075,1.11032,0.96029,0.9804,0.99312,0.90932,0.42309,0.28673,0.92782,0.0016568,0.0016568,0.0016568
15,48303.1,0.46175,0.37584,1.10822,0.9591,0.98649,0.99167,0.91353,0.46753,0.29661,0.97143,0.0016304,0.0016304,0.0016304
16,49499.4,0.45657,0.37093,1.10234,0.9844,0.98649,0.99421,0.89995,0.42973,0.27972,0.90961,0.001604,0.001604,0.001604
17,50733.7,0.45527,0.36158,1.09836,0.99321,0.95946,0.99351,0.90795,0.45984,0.29212,0.9481,0.0015776,0.0015776,0.0015776
18,51982.2,0.44075,0.35202,1.08629,0.99376,0.98649,0.99375,0.92426,0.42185,0.25457,0.8847,0.0015512,0.0015512,0.0015512
19,53209.5,0.44738,0.35336,1.09393,0.97919,0.95946,0.99064,0.91114,0.42854,0.27621,0.90333,0.0015248,0.0015248,0.0015248
20,54447.7,0.44496,0.35466,1.09085,0.97885,0.96622,0.98435,0.90494,0.43141,0.2665,0.92561,0.0014984,0.0014984,0.0014984
21,55655.7,0.43356,0.34899,1.08905,0.97319,0.97297,0.99281,0.91554,0.43475,0.27566,0.91885,0.001472,0.001472,0.001472
22,56874.6,0.44609,0.35031,1.09486,0.97202,0.97973,0.99125,0.89126,0.44846,0.28172,0.92477,0.0014456,0.0014456,0.0014456
23,58105.4,0.44004,0.35191,1.08968,0.9837,0.98649,0.99315,0.91369,0.42896,0.26404,0.91494,0.0014192,0.0014192,0.0014192
24,59287.9,0.43543,0.34757,1.08736,0.96555,0.97973,0.99286,0.87976,0.44298,0.28988,0.95793,0.0013928,0.0013928,0.0013928
25,60481.3,0.42921,0.35389,1.08488,0.97999,0.9927,0.99398,0.91373,0.41187,0.26471,0.89204,0.0013664,0.0013664,0.0013664
